"critic-picture src","display-name","display-name href","publication","publication href","review-text","original-score-and-url","full-url href","original-score-and-url 2"
"https://resizing.flixster.com/GmQedieF2UC37GORgpEEXQ5S3EA=/fit-in/50x50/v2/http://resizing.flixster.com/mQ8_gZwfi4FnphyWS2A_ENzNyGA=/128x128/v1.YzszMDc5O2o7MjAwNzA7MjA0ODszMDA7MzAw","Don Shanahan","https://www.rottentomatoes.com/critics/don-shanahan","Every Movie Has a Lesson","https://www.rottentomatoes.com/critics/source/3147","Where the enjoyment could be just from seeing all of this effort happen, the combined films of the final chapter in the series delivers epic entertainment worthy of its distinct place in movie history.","| Original Score: 5/5
                
                |","https://everymoviehasalesson.com/blog/2011/07/double-feature-movie-review-harry-and-the-deathly-hallows-part-1-2","Oct 17, 2024"
"https://resizing.flixster.com/EPyOyF9gU8tMSxD88PA0YaePsis=/fit-in/50x50/v2/http://resizing.flixster.com/gwJ0nu3X6nKOdNi2x319dNniZtU=/128x128/v1.YzsxMDAwMDAyNjczO2o7MjAwNzk7MjA0ODszMDA7MzAw","Martin Carr","https://www.rottentomatoes.com/critics/martin-carr","CBR","https://www.rottentomatoes.com/critics/source/1741","Harry Potter and the Deathly Hallows - Part 2 pulls together all the disparate threads of Harry's story. Combining all the emotion and action that makes Deathly Hallows - Part 2 so memorable. Closing this franchise off with a flourish.","| Original Score: 8/10
                
                |","https://www.cbr.com/harry-potter-and-the-deathly-hallows-part2-movie-review/","Aug 22, 2024"
"https://resizing.flixster.com/IBUiWgBY4zeyf2i-nJAtLxw5SV0=/fit-in/50x50/v2/http://resizing.flixster.com/Okw2prOQYIBKKRGWVwjllgf9R_o=/128x128/v1.Yzs0MDE4O2o7MjAwNzA7MjA0ODs0Mzc7NDM3","Sean Axmaker","https://www.rottentomatoes.com/critics/sean-axmaker","Stream on Demand","https://www.rottentomatoes.com/critics/source/2836","I like the work that director David Yates has done with the Harry Potter franchise. He doesn’t have a playful way with visuals or a gift for spectacle, but he understands the character and invests in their relationships and their evolution.","|","https://streamondemandathome.com/harry-potter-complete-vod-dvd-blu-ray/","Jan 6, 2024"
"https://resizing.flixster.com/N0U_Gmz2zkZuC4we_xx-5qRs_Bg=/fit-in/50x50/v2/http://resizing.flixster.com/Vf5lW7nF9l2jg0PJyawdk3eyn2A=/128x128/v1.YzsxMDAwMDAzMTE3O3A7MjAwNzk7MjA0ODs4MDA7ODAw","Brian Eggert","https://www.rottentomatoes.com/critics/brian-eggert","Deep Focus Review","https://www.rottentomatoes.com/critics/source/100009573","The filmmakers have created something spectacular, not only with this final sequel but with the entire series.","| Original Score: 3.5/4
                
                |","https://deepfocusreview.com/reviews/harry-potter-and-the-deathly-hallows-part-2/","Mar 11, 2023"
"https://resizing.flixster.com/m9A2Rlmtak5SK-7_cawJpopkckQ=/fit-in/50x50/v2/http://resizing.flixster.com/05DYMy-LymMfvxEFU3tyH-60yvg=/128x128/v1.YzsxMDAwMDAyNTkzO2o7MjAwNzk7MjA0ODs1MDA7NTAw","Cory Woodroof","https://www.rottentomatoes.com/critics/cory-woodroof","Lumination Network","https://www.rottentomatoes.com/critics/source/100009564","It's a satisfying conclusion to a great franchise.","|","http://luminationnetwork.com/luminations-holiday-entertainment-guide/","Feb 11, 2022"
"https://resizing.flixster.com/w56g7jmN2_fO6ZwcGd7XcKZG_ok=/fit-in/50x50/v2/http://resizing.flixster.com/p1JdMfSvqkwQK2g_-Bo-wIuNZyo=/120x120/v1.YzsyMjk4O2c7MjAwNzA7MjA0ODsxMjA7MTIw","David Nusair","https://www.rottentomatoes.com/critics/david-nusair","Reel Film Reviews","https://www.rottentomatoes.com/critics/source/1140","Easily the best of the series...","| Original Score: 3.5/4
                
                |","https://reelfilm.com/harry-potter-and-the-deathly-hallows-part-2/","Jan 13, 2022"
"https://resizing.flixster.com/zR5FMLIyTnFU6rhUWlg04cVkxkA=/fit-in/50x50/v2/http://resizing.flixster.com/sjK2slRlIiUlvaRpK6Q2mEwZWGc=/128x128/v1.YzszNjc3O2o7MjAwNzA7MjA0ODszMDA7MzAw","Mike Massie","https://www.rottentomatoes.com/critics/mike-massie","Gone With The Twins","https://www.rottentomatoes.com/critics/source/3719","The new locations are vast and mind-boggling, the sets beautifully decorated and detailed, and the creatures more impressively monstrous.","| Original Score: 8/10
                
                |","http://gonewiththetwins.com/new/harry-potter-and-the-deathly-hallows-part-2-2011/","Nov 30, 2020"
"https://resizing.flixster.com/8NaHI4Le0RYBfhoAdQrHvdQ5ww4=/fit-in/50x50/v2/http://resizing.flixster.com/_3G11gXlwG7Q0inHNBu-8Nfh9kQ=/128x128/v1.YzszODAzO2o7MjAwNzA7MjA0ODszMDA7MzAw","Richard Propes","https://www.rottentomatoes.com/critics/richard-propes","TheIndependentCritic.com","https://www.rottentomatoes.com/critics/source/3826","There are so many moments, big and small, that leave you breathless.","| Original Score: 3.5/4.0
                
                |","https://theindependentcritic.com/harry_potter_and_the_deathly_hallows_2","Sep 10, 2020"
"https://resizing.flixster.com/hfi5Zhki1fJFYr-TDAQ18me5W3M=/fit-in/50x50/v2/http://resizing.flixster.com/M2-CSYN30ZP7Sdm8HDvoHK-Auro=/128x128/v1.YzszNDM2O2o7MjAwNzA7MjA0ODszMDA7MzAw","Kate Rodger","https://www.rottentomatoes.com/critics/kate-rodger","Newshub (NZ)","https://www.rottentomatoes.com/critics/source/3001","An epic showdown in gorgeous 3D, packing an emotional punch, this cast and crew should take their final bow with pride before their devoted fans.","| Original Score: 4/5
                
                |","https://www.newshub.co.nz/entertainment/harry-potter-deathly-hallows-part-2-review-2011061615?ref=video","Aug 29, 2019"
"https://resizing.flixster.com/3n4ZucS919JTr58BK8Rdkixz5yI=/fit-in/50x50/v2/http://resizing.flixster.com/JoxAZcR5AyLh6rz1-iWdSJgwi0I=/128x128/v1.YzszMTk3O2o7MjAwNzA7MjA0ODszMDA7MzAw","Leslie Combemale","https://www.rottentomatoes.com/critics/leslie-combemale","Cinema Siren","https://www.rottentomatoes.com/critics/source/3276","[The film] ends the series so beautifully, and shows such reverence for the books that inspired and affected them so deeply.","|","https://www.rottentomatoes.com/m/harry_potter_and_the_deathly_hallows_part_2/Harry%20Potter%20and%20the%20Deathly%20Hallows%20Part%202","Jul 26, 2019"
