"critic-picture src","display-name","display-name href","publication","publication href","review-text","original-score-and-url","full-url","full-url href","original-score-and-url 2"
"https://resizing.flixster.com/EPyOyF9gU8tMSxD88PA0YaePsis=/fit-in/50x50/v2/http://resizing.flixster.com/gwJ0nu3X6nKOdNi2x319dNniZtU=/128x128/v1.YzsxMDAwMDAyNjczO2o7MjAwNzk7MjA0ODszMDA7MzAw","Martin Carr","https://www.rottentomatoes.com/critics/martin-carr","CBR","https://www.rottentomatoes.com/critics/source/1741","Tri-wizard cups may take centre stage in Harry Potter and the Goblet of Fire, but 
British director Mike Newell pushes the movie franchise further into adult territory and makes entry essential.","| Original Score: 8/10
                
                |","Full Review","https://www.cbr.com/harry-potter-and-the-goblet-of-fire-review/","Jul 11, 2024"
"https://resizing.flixster.com/IBUiWgBY4zeyf2i-nJAtLxw5SV0=/fit-in/50x50/v2/http://resizing.flixster.com/Okw2prOQYIBKKRGWVwjllgf9R_o=/128x128/v1.Yzs0MDE4O2o7MjAwNzA7MjA0ODs0Mzc7NDM3","Sean Axmaker","https://www.rottentomatoes.com/critics/sean-axmaker","Stream on Demand","https://www.rottentomatoes.com/critics/source/2836","[Director Mike] Newell brings a distinctively British sense of low key, wry humor to the spectacle without losing the increasingly serious dimensions of the drama, and he brings out marvelous shades of personality from our evolving young heroes.","|","Full Review","https://streamondemandathome.com/harry-potter-complete-vod-dvd-blu-ray/","Jan 6, 2024"
"https://resizing.flixster.com/w56g7jmN2_fO6ZwcGd7XcKZG_ok=/fit-in/50x50/v2/http://resizing.flixster.com/p1JdMfSvqkwQK2g_-Bo-wIuNZyo=/120x120/v1.YzsyMjk4O2c7MjAwNzA7MjA0ODsxMjA7MTIw","David Nusair","https://www.rottentomatoes.com/critics/david-nusair","Reel Film Reviews","https://www.rottentomatoes.com/critics/source/1140","...a woefully uneven installment that feels, for the most part, as though it should be a good hour shorter...","| Original Score: 2.5/4
                
                |","Full Review","https://reelfilm.com/harry-potter-and-the-goblet-of-fire/","Dec 13, 2021"
"https://resizing.flixster.com/zR5FMLIyTnFU6rhUWlg04cVkxkA=/fit-in/50x50/v2/http://resizing.flixster.com/sjK2slRlIiUlvaRpK6Q2mEwZWGc=/128x128/v1.YzszNjc3O2o7MjAwNzA7MjA0ODszMDA7MzAw","Mike Massie","https://www.rottentomatoes.com/critics/mike-massie","Gone With The Twins","https://www.rottentomatoes.com/critics/source/3719","It's increasingly evident that seven books and as many as eight theatrical adaptations fuel the need for too much filler subplots or nonessential side characters.","| Original Score: 6/10
                
                |","Full Review","http://gonewiththetwins.com/new/harry-potter-and-the-goblet-of-fire-2005/","Sep 29, 2020"
"https://resizing.flixster.com/koFPHbQ6L1XGndJpg_7JVxNcR3Q=/fit-in/50x50/v2/http://resizing.flixster.com/GfrpJHLK5fiXuBXxaYI3lP5agg4=/128x128/v1.YzszMTgyO2o7MjAwNzA7MjA0ODszMDA7MzAw","Debbie Lynn Elias","https://www.rottentomatoes.com/critics/debbie-lynn-elias1","Behind The Lens","https://www.rottentomatoes.com/critics/source/3211","More precious than a Golden Snitch in a game of Quidditch, this is one of the Must See films of the year.","|","Full Review","http://behindthelensonline.net/site/reviews/harry-potter-and-the-goblet-of-fire/","Nov 13, 2019"
"https://resizing.flixster.com/09WAkgLqkCLv3LOG_q6_8WZxHEE=/fit-in/50x50/v2/http://resizing.flixster.com/z5NfL_S1DI4dyYrfSntWEWDXW90=/128x128/v1.YzszMjE1O2o7MjAwNzA7MjA0ODszMDA7MzAw","Guillem Martinez Oya","https://www.rottentomatoes.com/critics/guillem-martinez-oya","Cinematismo","https://www.rottentomatoes.com/critics/source/3182","Good film directed for a teenage audience in which not only is magic taught but also how stereotypes affect it while the film itself recreates some British stereotypes. [Review in Spanish]","| Original Score: 4/5
                
                |","Full Review","https://cinematismo.net/2019/07/10/harry-potter-o-como-definir-lo-britanico-en-la-contemporaneidad/","Jul 11, 2019"
"https://resizing.flixster.com/N7RdstStCwVRkb_ypR2EdsGzISk=/fit-in/50x50/v2/http://resizing.flixster.com/avi-oqIg3dZ5INQA8G10NS4qnJs=/128x128/v1.YzsxMDAwMDAzMDg0O2o7MjAwNzk7MjA0ODszMDkwOzIzMDA","Mattie Lucas","https://www.rottentomatoes.com/critics/mattie-lucas","The Dispatch (Lexington, NC)","https://www.rottentomatoes.com/critics/source/3485","For the first time, the stakes of this battle of good and evil become painfully evident.","| Original Score: 3/4
                
                |","Full Review","https://www.the-dispatch.com/news/20051124/director-delivers-wonderful-new-chapter-in-potter-series","Jun 5, 2019"
"https://resizing.flixster.com/uBTB0MPqbJdx64r-94FFhzUi_tU=/fit-in/50x50/v2/http://resizing.flixster.com/bpEg2sRdESgRJ5ZvuGpqf5EXcQo=/128x128/v1.YzszMjU3O2o7MjAwNzA7MjA0ODszMDA7MzAw","Rachel Wagner","https://www.rottentomatoes.com/critics/rachel-wagner","rachelsreviews.net","https://www.rottentomatoes.com/critics/source/3346","It feels rushed and there are definitely the most plotholes in this entry in the series. Still, when it does work it really works.","| Original Score: B-
                
                |","Full Review","https://rachelsreviews.net/2016/10/26/month-of-previously-released-in-theater/","Apr 4, 2019"
"https://images.fandango.com/cms/assets/5b6ff500-1663-11ec-ae31-05a670d2d590--rtactordefault.png","Jeremy Jahns","https://www.rottentomatoes.com/critics/jeremy-jahns","JeremyJahns.com","https://www.rottentomatoes.com/critics/source/2955","Goblet of Fire is great, very watchable and re-watchable.","|","Full Review","https://www.youtube.com/watch?v=BFCcoHLAFE4","Jan 26, 2018"
"https://images.fandango.com/cms/assets/5b6ff500-1663-11ec-ae31-05a670d2d590--rtactordefault.png","Sukhdev Sandhu","https://www.rottentomatoes.com/critics/sukhdev-sandhu","Daily Telegraph (UK)","https://www.rottentomatoes.com/critics/source/921","Where Newell really scores is in taking a leaf out of Peter Jackson's book and cranking up the fear factor.","| Original Score: 4/5
                
                |","Full Review","http://www.telegraph.co.uk/culture/harry-potter/10508690/Harry-Potter-and-the-Goblet-of-Fire-2005-original-Telegraph-review.html","Dec 8, 2014"
"https://images.fandango.com/cms/assets/5b6ff500-1663-11ec-ae31-05a670d2d590--rtactordefault.png","Peter Bradshaw","https://www.rottentomatoes.com/critics/peter-bradshaw","Guardian","https://www.rottentomatoes.com/critics/source/205","For those like me who are outside but sympathetic to the faith, it looks like another handsomely made, good-natured and high-spirited family movie, which is dramatically stymied through being locked within school grounds.","| Original Score: 3/5
                
                |","Full Review","http://www.theguardian.com/film/2005/nov/18/harrypotter","Dec 8, 2014"
"https://images.fandango.com/cms/assets/5b6ff500-1663-11ec-ae31-05a670d2d590--rtactordefault.png","Victoria Segal","https://www.rottentomatoes.com/critics/victoria-segal","New Statesman","https://www.rottentomatoes.com/critics/source/2433","For the first time, adults might actually enjoy a Harry Potter film as much as children.","|","Full Review","https://www.newstatesman.com/node/163304","Dec 8, 2014"
"https://resizing.flixster.com/ogHFo8HQRvOkxR_lVnGYo9IkKmU=/fit-in/50x50/v2/http://resizing.flixster.com/_DY9WV7Xj77z7wICQ4XrsRZj_Fs=/128x128/v1.YzsxMDAwMDAyNzUwO2o7MjAwNzk7MjA0ODs0NzU7NDc1","Jim Schembri","https://www.rottentomatoes.com/critics/jim-schembri","The Age (Australia)","https://www.rottentomatoes.com/critics/source/2041","Goblet is really just a glorified, 157-minute teaser trailer, an empty epic of proportions that truly stagger.","| Original Score: 1.5/5
                
                |","Full Review","http://www.theage.com.au/news/film-reviews/harry-potter-and-the-goblet-of-fire/2005/11/30/1133311091689.html","Dec 8, 2014"
