"critic-picture src","display-name","display-name href","publication","publication href","review-text","original-score-and-url","full-url","full-url href","original-score-and-url 2"
"https://images.fandango.com/cms/assets/5b6ff500-1663-11ec-ae31-05a670d2d590--rtactordefault.png","Rachel LaBonte","https://www.rottentomatoes.com/critics/rachel-labonte","Screen Rant","https://www.rottentomatoes.com/critics/source/1647","Harry Potter and the Order of the Phoenix is a great example of some of the series' strongest elements, especially its cast and visual effects.","| Original Score: 4/5
                
                |","Full Review","https://screenrant.com/harry-potter-and-the-order-of-the-phoenix-movie-review/","Sep 13, 2024"
"https://resizing.flixster.com/w56g7jmN2_fO6ZwcGd7XcKZG_ok=/fit-in/50x50/v2/http://resizing.flixster.com/p1JdMfSvqkwQK2g_-Bo-wIuNZyo=/120x120/v1.YzsyMjk4O2c7MjAwNzA7MjA0ODsxMjA7MTIw","David Nusair","https://www.rottentomatoes.com/critics/david-nusair","Reel Film Reviews","https://www.rottentomatoes.com/critics/source/1140","...slick and briskly-paced...","| Original Score: 3/4
                
                |","Full Review","https://reelfilm.com/harry-potter-and-the-order-of-the-phoenix/","Dec 22, 2021"
"https://resizing.flixster.com/zR5FMLIyTnFU6rhUWlg04cVkxkA=/fit-in/50x50/v2/http://resizing.flixster.com/sjK2slRlIiUlvaRpK6Q2mEwZWGc=/128x128/v1.YzszNjc3O2o7MjAwNzA7MjA0ODszMDA7MzAw","Mike Massie","https://www.rottentomatoes.com/critics/mike-massie","Gone With The Twins","https://www.rottentomatoes.com/critics/source/3719","Clearly serving as an overly dependent middle section of the franchise, this is one of the more forgettable installments.","| Original Score: 4/10
                
                |","Full Review","http://gonewiththetwins.com/new/harry-potter-and-the-order-of-the-phoenix-2007/","Nov 24, 2020"
"https://images.fandango.com/cms/assets/5b6ff500-1663-11ec-ae31-05a670d2d590--rtactordefault.png","Leigh Paatsch","https://www.rottentomatoes.com/critics/leigh-paatsch","Herald Sun (Australia)","https://www.rottentomatoes.com/critics/source/2032","The fifth Potter picture is one of the lesser entries in the series: way too rushed, and a mite too dour.","| Original Score: 3/5
                
                |","Full Review","https://www.heraldsun.com.au/entertainment/movies/leigh-paatsch/your-night-in-every-movie-on-tv-tonight-rated/news-story/56d105b42457d919caf1730e34cb045a","Nov 17, 2020"
"https://images.fandango.com/cms/assets/5b6ff500-1663-11ec-ae31-05a670d2d590--rtactordefault.png","Sergi Sánchez","https://www.rottentomatoes.com/critics/sergi-sanchez","Fotogramas","https://www.rottentomatoes.com/critics/source/2780","A worthy sequel, but lacks surprises. [Full Review in Spanish]","| Original Score: 3/5
                
                |","Full Review","https://www.fotogramas.es/peliculas-criticas/a10674/harry-potter-y-la-orden-del-fenix/","Nov 30, 2019"
"https://images.fandango.com/cms/assets/5b6ff500-1663-11ec-ae31-05a670d2d590--rtactordefault.png","Juan Luis Caviaro","https://www.rottentomatoes.com/critics/juan-luis-caviaro","Espinof","https://www.rottentomatoes.com/critics/source/2621","The film is more than satisfactory for fans of the series, but can't quite conjure up much else besides stunning visuals. [Full Review in Spanish]","|","Full Review","https://www.espinof.com/criticas/harry-potter-y-la-orden-del-fenix-estirando-un-chicle-muy-rentable","Nov 30, 2019"
"https://images.fandango.com/cms/assets/5b6ff500-1663-11ec-ae31-05a670d2d590--rtactordefault.png","Virginia Montes","https://www.rottentomatoes.com/critics/virginia-montes","Sensacine","https://www.rottentomatoes.com/critics/source/2655","Despite lacking charisma, David Yates still manages to convey a dark epic feel to the affair. [Full Review in Spanish]","| Original Score: 3/5
                
                |","Full Review","http://www.sensacine.com/peliculas/pelicula-58608/sensacine/","Nov 30, 2019"
"https://resizing.flixster.com/hq2Vtd7FwmZItFXKOF1yj_xulR8=/fit-in/50x50/v2/http://resizing.flixster.com/mZ5Bc5ZJ4Ld98nJVEWsa7DLoYdM=/128x128/v1.YzszMTE4O2o7MjAwNzA7MjA0ODszMDA7MzAw","Micheal Compton","https://www.rottentomatoes.com/critics/micheal-compton","Bowling Green Daily News","https://www.rottentomatoes.com/critics/source/3193","After four magical cinematic chapters of Harry Potter, the franchise finally hits a bump in the road with Order of the Phoenix, which is full of plot detail and short of all the magic and charm that made this such a successful series.","|","Full Review","https://www.bgdailynews.com/community/latest-potter-installment-lacking-magic/article_92ab17db-d3d9-5f64-a9bd-857f14d2b7fa.html","Nov 21, 2019"
"https://resizing.flixster.com/koFPHbQ6L1XGndJpg_7JVxNcR3Q=/fit-in/50x50/v2/http://resizing.flixster.com/GfrpJHLK5fiXuBXxaYI3lP5agg4=/128x128/v1.YzszMTgyO2o7MjAwNzA7MjA0ODszMDA7MzAw","Debbie Lynn Elias","https://www.rottentomatoes.com/critics/debbie-lynn-elias1","Behind The Lens","https://www.rottentomatoes.com/critics/source/3211","Good, but not quite great, Harry Potter and The Order of The Phoenix does not wear out its welcome, keeps the franchise intact, entertains and enthralls, and leaves us looking toward the future and the ultimate battle between Harry and Voldemort.","|","Full Review","http://behindthelensonline.net/site/reviews/harry-potter-and-the-order-of-the-phoenix/","Nov 13, 2019"
"https://resizing.flixster.com/09WAkgLqkCLv3LOG_q6_8WZxHEE=/fit-in/50x50/v2/http://resizing.flixster.com/z5NfL_S1DI4dyYrfSntWEWDXW90=/128x128/v1.YzszMjE1O2o7MjAwNzA7MjA0ODszMDA7MzAw","Guillem Martinez Oya","https://www.rottentomatoes.com/critics/guillem-martinez-oya","Cinematismo","https://www.rottentomatoes.com/critics/source/3182","Good film directed for a teenage audience in which not only is magic taught but also how stereotypes affect it while the film itself recreates some British stereotypes. [Review in Spanish]","| Original Score: 4/5
                
                |","Full Review","https://cinematismo.net/2019/07/10/harry-potter-o-como-definir-lo-britanico-en-la-contemporaneidad/","Jul 11, 2019"
"https://resizing.flixster.com/N7RdstStCwVRkb_ypR2EdsGzISk=/fit-in/50x50/v2/http://resizing.flixster.com/avi-oqIg3dZ5INQA8G10NS4qnJs=/128x128/v1.YzsxMDAwMDAzMDg0O2o7MjAwNzk7MjA0ODszMDkwOzIzMDA","Mattie Lucas","https://www.rottentomatoes.com/critics/mattie-lucas","The Dispatch (Lexington, NC)","https://www.rottentomatoes.com/critics/source/3485","The most character-driven, dialogue-centric and politically astute Potter film yet.","| Original Score: 3/4
                
                |","Full Review","https://www.the-dispatch.com/news/20070719/latest-harry-potter-film-is-the-best-yet","Jun 6, 2019"
