"critic-picture src","display-name","display-name href","publication","publication href","review-text","original-score-and-url","full-url href","original-score-and-url 2"
"https://resizing.flixster.com/EPyOyF9gU8tMSxD88PA0YaePsis=/fit-in/50x50/v2/http://resizing.flixster.com/gwJ0nu3X6nKOdNi2x319dNniZtU=/128x128/v1.YzsxMDAwMDAyNjczO2o7MjAwNzk7MjA0ODszMDA7MzAw","Martin Carr","https://www.rottentomatoes.com/critics/martin-carr","CBR","https://www.rottentomatoes.com/critics/source/1741","With a change in director and the replacement of an integral character actor, Harry Potter and the Prisoner of Azkaban still manages to be one, if not the most impressive entry in this franchise.","| Original Score: 8/10
                
                |","https://www.cbr.com/harry-potter-and-the-prisoner-of-azkaban-review/","Jul 5, 2024"
"https://resizing.flixster.com/x1xqhXihDzTjxkpBNJ0O56At8zg=/fit-in/50x50/v2/http://resizing.flixster.com/wdl6zfjndAzhdMajcBVRTNrrxXE=/128x128/v1.YzsxMDAwMDAzMjk3O2o7MjAwNzk7MjA0ODszMjE2OzMwOTY","Sebastian Zavala Kahn","https://www.rottentomatoes.com/critics/sebastian-zavala-kahn","Me gusta el cine","https://www.rottentomatoes.com/critics/source/2840","Yes, the first two Columbus films were a success and introduced us to this universe in a fun way. But Cuarón gave it texture, verisimilitude and thematic depth, establishing a tone that was maintained until the eighth instalment. Full review in Spanish.","| Original Score: 4.5/5
                
                |","https://megustaelcine.com/critica-harry-potter-y-el-prisionero-de-azkaban-la-mejor-y-mas-creativa-entrega-de-la-saga/","Jun 5, 2024"
"https://resizing.flixster.com/DegwO-UgN9kps1HgXuYJuV6tG9E=/fit-in/50x50/v2/http://resizing.flixster.com/AK32Kc2xhi9uU08gZmn3UW0V38s=/128x128/v1.YzszNDc1O3A7MjAwNzA7MjA0ODszNDA7MzQw","Kevin Maher","https://www.rottentomatoes.com/critics/kevin-maher","Times (UK)","https://www.rottentomatoes.com/critics/source/823","[Alfonso Cuarón] attacked the Potter material with the instincts of an auteur. Everything darkened. Literally.","| Original Score: 4/5
                
                |","https://www.thetimes.co.uk/article/harry-potter-and-the-prisoner-of-azkaban-2004-review-the-best-one-30kq57ldr","May 31, 2024"
"https://images.fandango.com/cms/assets/5b6ff500-1663-11ec-ae31-05a670d2d590--rtactordefault.png","Dave Giannini","https://www.rottentomatoes.com/critics/dave-giannini","InSession Film","https://www.rottentomatoes.com/critics/source/3137","This is the only Harry Potter movie that stands on its own as a good film, the best Harry Potter movie, and it’s not even close.","|","https://insessionfilm.com/best-of-2004-david-giannini/","Feb 20, 2024"
"https://resizing.flixster.com/IBUiWgBY4zeyf2i-nJAtLxw5SV0=/fit-in/50x50/v2/http://resizing.flixster.com/Okw2prOQYIBKKRGWVwjllgf9R_o=/128x128/v1.Yzs0MDE4O2o7MjAwNzA7MjA0ODs0Mzc7NDM3","Sean Axmaker","https://www.rottentomatoes.com/critics/sean-axmaker","Stream on Demand","https://www.rottentomatoes.com/critics/source/2836","Director Alfonso Cuaron breaks away from the literal translation to bring create a more intimate and stylistically complex movie...","|","https://streamondemandathome.com/harry-potter-complete-vod-dvd-blu-ray/","Jan 6, 2024"
"https://resizing.flixster.com/w56g7jmN2_fO6ZwcGd7XcKZG_ok=/fit-in/50x50/v2/http://resizing.flixster.com/p1JdMfSvqkwQK2g_-Bo-wIuNZyo=/120x120/v1.YzsyMjk4O2c7MjAwNzA7MjA0ODsxMjA7MTIw","David Nusair","https://www.rottentomatoes.com/critics/david-nusair","Reel Film Reviews","https://www.rottentomatoes.com/critics/source/1140","...a marked departure for the watchable yet thoroughly bland series...","| Original Score: 3/4
                
                |","https://reelfilm.com/harry-potter-and-the-prisoner-of-azkaban/","Dec 8, 2021"
"https://resizing.flixster.com/zR5FMLIyTnFU6rhUWlg04cVkxkA=/fit-in/50x50/v2/http://resizing.flixster.com/sjK2slRlIiUlvaRpK6Q2mEwZWGc=/128x128/v1.YzszNjc3O2o7MjAwNzA7MjA0ODszMDA7MzAw","Mike Massie","https://www.rottentomatoes.com/critics/mike-massie","Gone With The Twins","https://www.rottentomatoes.com/critics/source/3719","Definitely not foolproof, like almost every time travel explanation, but this film nevertheless presents a new, creative angle.","| Original Score: 7/10
                
                |","http://gonewiththetwins.com/new/harry-potter-and-the-prisoner-of-azkaban-2004/","Sep 29, 2020"
"https://resizing.flixster.com/koFPHbQ6L1XGndJpg_7JVxNcR3Q=/fit-in/50x50/v2/http://resizing.flixster.com/GfrpJHLK5fiXuBXxaYI3lP5agg4=/128x128/v1.YzszMTgyO2o7MjAwNzA7MjA0ODszMDA7MzAw","Debbie Lynn Elias","https://www.rottentomatoes.com/critics/debbie-lynn-elias1","Behind The Lens","https://www.rottentomatoes.com/critics/source/3211","Hogwarts is back in session! And not a moment too soon. And although I've said it before, I've got to say it again, a technical and visual masterpiece.","|","http://behindthelensonline.net/site/reviews/harry-potter-and-the-prisoner-of-azkaban/","Nov 13, 2019"
"https://resizing.flixster.com/09WAkgLqkCLv3LOG_q6_8WZxHEE=/fit-in/50x50/v2/http://resizing.flixster.com/z5NfL_S1DI4dyYrfSntWEWDXW90=/128x128/v1.YzszMjE1O2o7MjAwNzA7MjA0ODszMDA7MzAw","Guillem Martinez Oya","https://www.rottentomatoes.com/critics/guillem-martinez-oya","Cinematismo","https://www.rottentomatoes.com/critics/source/3182","Good film directed for a teenage audience in which not only is magic taught but also how stereotypes affect it while the film itself recreates some British stereotypes. [Review in Spanish]","| Original Score: 4/5
                
                |","https://cinematismo.net/2019/07/10/harry-potter-o-como-definir-lo-britanico-en-la-contemporaneidad/","Jul 11, 2019"
"https://resizing.flixster.com/uBTB0MPqbJdx64r-94FFhzUi_tU=/fit-in/50x50/v2/http://resizing.flixster.com/bpEg2sRdESgRJ5ZvuGpqf5EXcQo=/128x128/v1.YzszMjU3O2o7MjAwNzA7MjA0ODszMDA7MzAw","Rachel Wagner","https://www.rottentomatoes.com/critics/rachel-wagner","rachelsreviews.net","https://www.rottentomatoes.com/critics/source/3346","It is without a doubt the best made film of the series.","| Original Score: A
                
                |","https://rachelsreviews.net/2016/10/26/month-of-previously-released-in-theater/","Apr 4, 2019"
