username,rating,movie name
Don Shanahan,"| Original Score: 5/5
                
                |",Harry Potter and the Deathly Hallows: Part 2
Martin Carr,"| Original Score: 8/10
                
                |",Harry Potter and the Deathly Hallows: Part 2
Sean Axmaker,|,Harry Potter and the Deathly Hallows: Part 2
Brian Eggert,"| Original Score: 3.5/4
                
                |",Harry Potter and the Deathly Hallows: Part 2
Cory Woodroof,|,Harry Potter and the Deathly Hallows: Part 2
David Nusair,"| Original Score: 3.5/4
                
                |",Harry Potter and the Deathly Hallows: Part 2
Mike Massie,"| Original Score: 8/10
                
                |",Harry Potter and the Deathly Hallows: Part 2
Richard Propes,"| Original Score: 3.5/4.0
                
                |",Harry Potter and the Deathly Hallows: Part 2
Kate Rodger,"| Original Score: 4/5
                
                |",Harry Potter and the Deathly Hallows: Part 2
Leslie Combemale,|,Harry Potter and the Deathly Hallows: Part 2
Guillem Martinez Oya,"| Original Score: 5/5
                
                |",Harry Potter and the Deathly Hallows: Part 2
Mattie Lucas,"| Original Score: 3.5/4
                
                |",Harry Potter and the Deathly Hallows: Part 2
Micheal Compton,|,Harry Potter and the Deathly Hallows: Part 2
Rachel Wagner,"| Original Score: A
                
                |",Harry Potter and the Deathly Hallows: Part 2
Amie Simon,|,Harry Potter and the Deathly Hallows: Part 2
Abbie Bernstein,"| Original Score: A-
                
                |",Harry Potter and the Deathly Hallows: Part 2
Kelly Jane Torrance,"| Original Score: 4/5
                
                |",Harry Potter and the Deathly Hallows: Part 2
Edward Frost,"| Original Score: 4/5
                
                |",Harry Potter and the Deathly Hallows: Part 2
Annalee Newitz,|,Harry Potter and the Deathly Hallows: Part 2
Rebecca Cusey,|,Harry Potter and the Deathly Hallows: Part 2
Martin Carr,"| Original Score: 8/10
                
                |",Harry Potter and the Goblet of Fire
Sean Axmaker,|,Harry Potter and the Goblet of Fire
David Nusair,"| Original Score: 2.5/4
                
                |",Harry Potter and the Goblet of Fire
Mike Massie,"| Original Score: 6/10
                
                |",Harry Potter and the Goblet of Fire
Debbie Lynn Elias,|,Harry Potter and the Goblet of Fire
Guillem Martinez Oya,"| Original Score: 4/5
                
                |",Harry Potter and the Goblet of Fire
Mattie Lucas,"| Original Score: 3/4
                
                |",Harry Potter and the Goblet of Fire
Rachel Wagner,"| Original Score: B-
                
                |",Harry Potter and the Goblet of Fire
Jeremy Jahns,|,Harry Potter and the Goblet of Fire
Sukhdev Sandhu,"| Original Score: 4/5
                
                |",Harry Potter and the Goblet of Fire
Peter Bradshaw,"| Original Score: 3/5
                
                |",Harry Potter and the Goblet of Fire
Victoria Segal,|,Harry Potter and the Goblet of Fire
Jim Schembri,"| Original Score: 1.5/5
                
                |",Harry Potter and the Goblet of Fire
Jay Stone,"| Original Score: 3.5/5
                
                |",Harry Potter and the Goblet of Fire
Michael Kleinschrodt,"| Original Score: 4/4
                
                |",Harry Potter and the Goblet of Fire
Cosmo Landesman,|,Harry Potter and the Goblet of Fire
Amy Biancolli,|,Harry Potter and the Goblet of Fire
Matt Soergel,"Full Review
                
                
                    | Original Score: 3.5/4
                
                |",Harry Potter and the Goblet of Fire
Dennis King,"| Original Score: 3.5/4
                
                |",Harry Potter and the Goblet of Fire
Daniel Saney,"| Original Score: 5/5
                
                |",Harry Potter and the Goblet of Fire
