username,rating,movie name
Don Shanahan,"| Original Score: 5/5
                
                |",Harry Potter and the Deathly Hallows: Part 2
Martin Carr,"| Original Score: 8/10
                
                |",Harry Potter and the Deathly Hallows: Part 2
Sean Axmaker,|,Harry Potter and the Deathly Hallows: Part 2
Brian Eggert,"| Original Score: 3.5/4
                
                |",Harry Potter and the Deathly Hallows: Part 2
Cory Woodroof,|,Harry Potter and the Deathly Hallows: Part 2
David Nusair,"| Original Score: 3.5/4
                
                |",Harry Potter and the Deathly Hallows: Part 2
Mike Massie,"| Original Score: 8/10
                
                |",Harry Potter and the Deathly Hallows: Part 2
Richard Propes,"| Original Score: 3.5/4.0
                
                |",Harry Potter and the Deathly Hallows: Part 2
Kate Rodger,"| Original Score: 4/5
                
                |",Harry Potter and the Deathly Hallows: Part 2
Leslie Combemale,|,Harry Potter and the Deathly Hallows: Part 2
Guillem Martinez Oya,"| Original Score: 5/5
                
                |",Harry Potter and the Deathly Hallows: Part 2
Mattie Lucas,"| Original Score: 3.5/4
                
                |",Harry Potter and the Deathly Hallows: Part 2
Micheal Compton,|,Harry Potter and the Deathly Hallows: Part 2
Rachel Wagner,"| Original Score: A
                
                |",Harry Potter and the Deathly Hallows: Part 2
Amie Simon,|,Harry Potter and the Deathly Hallows: Part 2
Abbie Bernstein,"| Original Score: A-
                
                |",Harry Potter and the Deathly Hallows: Part 2
Kelly Jane Torrance,"| Original Score: 4/5
                
                |",Harry Potter and the Deathly Hallows: Part 2
Edward Frost,"| Original Score: 4/5
                
                |",Harry Potter and the Deathly Hallows: Part 2
Annalee Newitz,|,Harry Potter and the Deathly Hallows: Part 2
Rebecca Cusey,|,Harry Potter and the Deathly Hallows: Part 2
