username,rating,movie name
Martin Carr,"| Original Score: 8/10
                
                |",Harry Potter and the Prisoner of Azkaban
Sebastian Zavala Kahn,"| Original Score: 4.5/5
                
                |",Harry Potter and the Prisoner of Azkaban
Kevin Maher,"| Original Score: 4/5
                
                |",Harry Potter and the Prisoner of Azkaban
Dave Giannini,|,Harry Potter and the Prisoner of Azkaban
Sean Axmaker,|,Harry Potter and the Prisoner of Azkaban
David Nusair,"| Original Score: 3/4
                
                |",Harry Potter and the Prisoner of Azkaban
Mike Massie,"| Original Score: 7/10
                
                |",Harry Potter and the Prisoner of Azkaban
Debbie Lynn Elias,|,Harry Potter and the Prisoner of Azkaban
Guillem Martinez Oya,"| Original Score: 4/5
                
                |",Harry Potter and the Prisoner of Azkaban
Rachel Wagner,"| Original Score: A
                
                |",Harry Potter and the Prisoner of Azkaban
Jeremy Jahns,|,Harry Potter and the Prisoner of Azkaban
Antonia Quirke,|,Harry Potter and the Prisoner of Azkaban
Kevin Carr,"| Original Score: 4.5/5
                
                |",Harry Potter and the Prisoner of Azkaban
Christopher Orr,|,Harry Potter and the Prisoner of Azkaban
Mark Kermode,|,Harry Potter and the Prisoner of Azkaban
Matt Soergel,"| Original Score: 3.5/4
                
                |",Harry Potter and the Prisoner of Azkaban
Christopher Borrelli,"| Original Score: 4/5
                
                |",Harry Potter and the Prisoner of Azkaban
Dan Webster,"| Original Score: 3.5/4
                
                |",Harry Potter and the Prisoner of Azkaban
Tim Brayton,"| Original Score: 7/10
                
                |",Harry Potter and the Prisoner of Azkaban
David Walker,|,Harry Potter and the Prisoner of Azkaban
