username,rating,movie name
Martin Carr,"| Original Score: 8/10
                
                |",Harry Potter and the Sorcerers Stone
Sean Axmaker,|,Harry Potter and the Sorcerers Stone
David Nusair,"| Original Score: 2.5/4
                
                |",Harry Potter and the Sorcerers Stone
Kevin Maher,"| Original Score: 4/5
                
                |",Harry Potter and the Sorcerers Stone
Film Companion Staff,|,Harry Potter and the Sorcerers Stone
Mike Massie,"| Original Score: 8/10
                
                |",Harry Potter and the Sorcerers Stone
Leigh Paatsch,"| Original Score: 4/5
                
                |",Harry Potter and the Sorcerers Stone
Debbie Lynn Elias,|,Harry Potter and the Sorcerers Stone
Guillem Martinez Oya,"| Original Score: 4/5
                
                |",Harry Potter and the Sorcerers Stone
Rachel Wagner,"| Original Score: B-
                
                |",Harry Potter and the Sorcerers Stone
Jeremy Jahns,|,Harry Potter and the Sorcerers Stone
Jami Bernard,"| Original Score: 3.5/4
                
                |",Harry Potter and the Sorcerers Stone
Mark Steyn,|,Harry Potter and the Sorcerers Stone
Anthony Lane,|,Harry Potter and the Sorcerers Stone
,"| Original Score: 4/5
                
                |",Harry Potter and the Sorcerers Stone
Andrew Collins,"| Original Score: 4/5
                
                |",Harry Potter and the Sorcerers Stone
Felix Vasquez Jr.,|,Harry Potter and the Sorcerers Stone
,"| Original Score: 3/5
                
                |",Harry Potter and the Sorcerers Stone
Nell Minow,"| Original Score: 5/5
                
                |",Harry Potter and the Sorcerers Stone
Todd McCarthy,|,Harry Potter and the Sorcerers Stone
